District Id,Month,Cases
AP_Krishna,10,535
AP_Krishna,11,332
AP_Krishna,12,4379
AP_Krishna,13,20979
AP_Krishna,14,21343
AP_Krishna,15,8908
AP_Krishna,16,6838
AP_Krishna,17,0
AP_Kurnool,1,591
AP_Kurnool,2,385
AP_Kurnool,3,2847
AP_Kurnool,4,28189
AP_Kurnool,5,19954
AP_Kurnool,6,6467
AP_Kurnool,7,1482
AP_Kurnool,8,501
AP_Kurnool,9,298
AP_Kurnool,10,133
AP_Kurnool,11,114
AP_Kurnool,12,2752
AP_Kurnool,13,34742
AP_Kurnool,14,21248
AP_Kurnool,15,3006
AP_Kurnool,16,863
AP_Kurnool,17,0
AP_Prakasam,1,63
AP_Prakasam,2,38
AP_Prakasam,3,1137
AP_Prakasam,4,9525
AP_Prakasam,5,26123
AP_Prakasam,6,18360
AP_Prakasam,7,5668
AP_Prakasam,8,890
AP_Prakasam,9,303
AP_Prakasam,10,86
AP_Prakasam,11,59
AP_Prakasam,12,2104
AP_Prakasam,13,24327
AP_Prakasam,14,26602
AP_Prakasam,15,10155
AP_Prakasam,16,6347
AP_Prakasam,17,0
AP_S.P.S. Nellore,1,126
AP_S.P.S. Nellore,2,270
AP_S.P.S. Nellore,3,1023
AP_S.P.S. Nellore,4,14750
AP_S.P.S. Nellore,5,27961
AP_S.P.S. Nellore,6,13161
AP_S.P.S. Nellore,7,3563
AP_S.P.S. Nellore,8,955
AP_S.P.S. Nellore,9,438
AP_S.P.S. Nellore,10,151
AP_S.P.S. Nellore,11,138
AP_S.P.S. Nellore,12,3266
AP_S.P.S. Nellore,13,35211
AP_S.P.S. Nellore,14,22499
AP_S.P.S. Nellore,15,6880
AP_S.P.S. Nellore,16,6965
AP_S.P.S. Nellore,17,0
AP_Srikakulam,1,7
AP_Srikakulam,2,48
AP_Srikakulam,3,1359
AP_Srikakulam,4,11906
AP_Srikakulam,5,19427
AP_Srikakulam,6,9339
AP_Srikakulam,7,2909
AP_Srikakulam,8,728
AP_Srikakulam,9,319
AP_Srikakulam,10,120
AP_Srikakulam,11,138
AP_Srikakulam,12,2812
AP_Srikakulam,13,41803
AP_Srikakulam,14,23782
AP_Srikakulam,15,4961
AP_Srikakulam,16,1732
AP_Srikakulam,17,0
AP_Visakhapatnam,1,66
AP_Visakhapatnam,2,150
AP_Visakhapatnam,3,1273
AP_Visakhapatnam,4,21913
AP_Visakhapatnam,5,20936
AP_Visakhapatnam,6,8644
AP_Visakhapatnam,7,4256
AP_Visakhapatnam,8,1417
AP_Visakhapatnam,9,830
AP_Visakhapatnam,10,439
AP_Visakhapatnam,11,326
AP_Visakhapatnam,12,5743
AP_Visakhapatnam,13,42317
AP_Visakhapatnam,14,36976
AP_Visakhapatnam,15,5215
AP_Visakhapatnam,16,3197
AP_Visakhapatnam,17,0
AP_Vizianagaram,1,16
AP_Vizianagaram,2,83
AP_Vizianagaram,3,2826
AP_Vizianagaram,4,13982
AP_Vizianagaram,5,16452
AP_Vizianagaram,6,5535
AP_Vizianagaram,7,1651
AP_Vizianagaram,8,459
AP_Vizianagaram,9,124
AP_Vizianagaram,10,31
AP_Vizianagaram,11,103
AP_Vizianagaram,12,5483
AP_Vizianagaram,13,24822
AP_Vizianagaram,14,8109
AP_Vizianagaram,15,1642
AP_Vizianagaram,16,458
AP_Vizianagaram,17,0
AP_West Godavari,1,69
AP_West Godavari,2,217
AP_West Godavari,3,1740
AP_West Godavari,4,20051
AP_West Godavari,5,29488
AP_West Godavari,6,25194
AP_West Godavari,7,13345
AP_West Godavari,8,3293
AP_West Godavari,9,686
AP_West Godavari,10,203
AP_West Godavari,11,96
AP_West Godavari,12,480
AP_West Godavari,13,21742
AP_West Godavari,14,35583
AP_West Godavari,15,14164
AP_West Godavari,16,5636
AP_West Godavari,17,0
AP_Y.S.R. Kadapa,1,99
AP_Y.S.R. Kadapa,2,148
AP_Y.S.R. Kadapa,3,1735
AP_Y.S.R. Kadapa,4,14151
AP_Y.S.R. Kadapa,5,20358
AP_Y.S.R. Kadapa,6,12367
AP_Y.S.R. Kadapa,7,4710
AP_Y.S.R. Kadapa,8,1085
AP_Y.S.R. Kadapa,9,490
AP_Y.S.R. Kadapa,10,173
AP_Y.S.R. Kadapa,11,151
AP_Y.S.R. Kadapa,12,2104
AP_Y.S.R. Kadapa,13,22122
AP_Y.S.R. Kadapa,14,22334
AP_Y.S.R. Kadapa,15,6561
AP_Y.S.R. Kadapa,16,3018
AP_Y.S.R. Kadapa,17,0
AR_Anjaw,1,0
AR_Anjaw,2,4
AR_Anjaw,3,34
AR_Anjaw,4,717
AR_Anjaw,5,69
AR_Anjaw,6,25
AR_Anjaw,7,17
AR_Anjaw,8,0
AR_Anjaw,9,0
AR_Anjaw,10,0
AR_Anjaw,11,0
AR_Anjaw,12,174
AR_Anjaw,13,253
AR_Anjaw,14,228
AR_Anjaw,15,135
AR_Anjaw,16,0
AR_Anjaw,17,0
AR_Changlang,1,59
AR_Changlang,2,54
AR_Changlang,3,201
AR_Changlang,4,311
AR_Changlang,5,452
AR_Changlang,6,113
AR_Changlang,7,80
AR_Changlang,8,11
AR_Changlang,9,3
AR_Changlang,10,1
AR_Changlang,11,2
AR_Changlang,12,313
AR_Changlang,13,1136
AR_Changlang,14,607
AR_Changlang,15,314
AR_Changlang,16,0
AR_Changlang,17,0
AR_East Kameng,1,0
AR_East Kameng,2,2
AR_East Kameng,3,157
AR_East Kameng,4,109
AR_East Kameng,5,43
AR_East Kameng,6,3
AR_East Kameng,7,4
AR_East Kameng,8,0
AR_East Kameng,9,0
AR_East Kameng,10,0
AR_East Kameng,11,2
AR_East Kameng,12,68
AR_East Kameng,13,364
AR_East Kameng,14,223
AR_East Kameng,15,110
AR_East Kameng,16,0
AR_East Kameng,17,0
AR_East Siang,1,9
AR_East Siang,2,25
AR_East Siang,3,160
AR_East Siang,4,254
AR_East Siang,5,377
AR_East Siang,6,219
AR_East Siang,7,71
AR_East Siang,8,27
AR_East Siang,9,2
AR_East Siang,10,0
AR_East Siang,11,14
AR_East Siang,12,252
AR_East Siang,13,460
AR_East Siang,14,750
AR_East Siang,15,343
AR_East Siang,16,0
AR_East Siang,17,0
AR_Kamle,1,0
AR_Kamle,2,0
AR_Kamle,3,1
AR_Kamle,4,2
AR_Kamle,5,22
AR_Kamle,6,4
AR_Kamle,7,0
AR_Kamle,8,1
AR_Kamle,9,0
AR_Kamle,10,0
AR_Kamle,11,0
AR_Kamle,12,51
AR_Kamle,13,82
AR_Kamle,14,168
AR_Kamle,15,147
AR_Kamle,16,0
AR_Kamle,17,0
AR_Kra Daadi,1,0
AR_Kra Daadi,2,0
AR_Kra Daadi,3,0
AR_Kra Daadi,4,4
AR_Kra Daadi,5,28
AR_Kra Daadi,6,4
AR_Kra Daadi,7,1
AR_Kra Daadi,8,0
AR_Kra Daadi,9,0
AR_Kra Daadi,10,0
AR_Kra Daadi,11,0
AR_Kra Daadi,12,15
AR_Kra Daadi,13,114
AR_Kra Daadi,14,71
AR_Kra Daadi,15,23
AR_Kra Daadi,16,0
AR_Kra Daadi,17,0
AR_Kurung Kumey,1,0
AR_Kurung Kumey,2,0
AR_Kurung Kumey,3,0
AR_Kurung Kumey,4,32
AR_Kurung Kumey,5,80
AR_Kurung Kumey,6,8
AR_Kurung Kumey,7,2
AR_Kurung Kumey,8,0
AR_Kurung Kumey,9,0
AR_Kurung Kumey,10,0
AR_Kurung Kumey,11,0
AR_Kurung Kumey,12,7
AR_Kurung Kumey,13,166
AR_Kurung Kumey,14,202
AR_Kurung Kumey,15,15
AR_Kurung Kumey,16,0
AR_Kurung Kumey,17,0
AR_Lepa Rada,1,0
AR_Lepa Rada,2,11
AR_Lepa Rada,3,12
AR_Lepa Rada,4,60
AR_Lepa Rada,5,88
AR_Lepa Rada,6,74
AR_Lepa Rada,7,32
AR_Lepa Rada,8,8
AR_Lepa Rada,9,1
AR_Lepa Rada,10,0
AR_Lepa Rada,11,8
AR_Lepa Rada,12,50
AR_Lepa Rada,13,111
AR_Lepa Rada,14,186
AR_Lepa Rada,15,151
AR_Lepa Rada,16,0
AR_Lepa Rada,17,0
AR_Lohit,1,1
AR_Lohit,2,2
AR_Lohit,3,2
AR_Lohit,4,112
AR_Lohit,5,75
AR_Lohit,6,179
AR_Lohit,7,184
AR_Lohit,8,8
AR_Lohit,9,10
AR_Lohit,10,1
AR_Lohit,11,0
AR_Lohit,12,2
AR_Lohit,13,206
AR_Lohit,14,600
AR_Lohit,15,657
AR_Lohit,16,650
AR_Lohit,17,0
AR_Longding,1,1
AR_Longding,2,4
AR_Longding,3,14
AR_Longding,4,91
AR_Longding,5,104
AR_Longding,6,29
AR_Longding,7,5
AR_Longding,8,2
AR_Longding,9,0
AR_Longding,10,0
AR_Longding,11,0
AR_Longding,12,27
AR_Longding,13,132
AR_Longding,14,248
AR_Longding,15,74
AR_Longding,16,0
AR_Longding,17,0
AR_Lower Dibang Valley,1,3
AR_Lower Dibang Valley,2,6
AR_Lower Dibang Valley,3,29
AR_Lower Dibang Valley,4,146
AR_Lower Dibang Valley,5,149
AR_Lower Dibang Valley,6,115
AR_Lower Dibang Valley,7,23
AR_Lower Dibang Valley,8,3
AR_Lower Dibang Valley,9,1
AR_Lower Dibang Valley,10,0
AR_Lower Dibang Valley,11,53
AR_Lower Dibang Valley,12,661
AR_Lower Dibang Valley,13,422
AR_Lower Dibang Valley,14,332
AR_Lower Dibang Valley,15,225
AR_Lower Dibang Valley,16,0
AR_Lower Dibang Valley,17,0
AR_Lower Siang,1,1
AR_Lower Siang,2,15
AR_Lower Siang,3,58
AR_Lower Siang,4,79
AR_Lower Siang,5,116
AR_Lower Siang,6,7
AR_Lower Siang,7,9
AR_Lower Siang,8,2
AR_Lower Siang,9,0
AR_Lower Siang,10,0
AR_Lower Siang,11,0
AR_Lower Siang,12,98
AR_Lower Siang,13,79
AR_Lower Siang,14,110
AR_Lower Siang,15,135
AR_Lower Siang,16,0
AR_Lower Siang,17,0
AR_Lower Subansiri,1,0
AR_Lower Subansiri,2,19
AR_Lower Subansiri,3,22
AR_Lower Subansiri,4,117
AR_Lower Subansiri,5,146
AR_Lower Subansiri,6,61
AR_Lower Subansiri,7,16
AR_Lower Subansiri,8,0
AR_Lower Subansiri,9,0
AR_Lower Subansiri,10,0
AR_Lower Subansiri,11,5
AR_Lower Subansiri,12,428
AR_Lower Subansiri,13,579
AR_Lower Subansiri,14,497
AR_Lower Subansiri,15,757
AR_Lower Subansiri,16,0
AR_Lower Subansiri,17,0
AR_Namsai,1,5
AR_Namsai,2,40
AR_Namsai,3,142
AR_Namsai,4,33
AR_Namsai,5,123
AR_Namsai,6,64
AR_Namsai,7,20
AR_Namsai,8,4
AR_Namsai,9,4
AR_Namsai,10,0
AR_Namsai,11,9
AR_Namsai,12,304
AR_Namsai,13,686
AR_Namsai,14,338
AR_Namsai,15,198
AR_Namsai,16,0
AR_Namsai,17,0
AR_Pakke Kessang,1,1
AR_Pakke Kessang,2,0
AR_Pakke Kessang,3,0
AR_Pakke Kessang,4,36
AR_Pakke Kessang,5,66
AR_Pakke Kessang,6,22
AR_Pakke Kessang,7,4
AR_Pakke Kessang,8,3
AR_Pakke Kessang,9,0
AR_Pakke Kessang,10,0
AR_Pakke Kessang,11,0
AR_Pakke Kessang,12,34
AR_Pakke Kessang,13,71
AR_Pakke Kessang,14,120
AR_Pakke Kessang,15,39
AR_Pakke Kessang,16,0
AR_Pakke Kessang,17,0
AR_Papum Pare,1,5
AR_Papum Pare,2,144
AR_Papum Pare,3,832
AR_Papum Pare,4,1130
AR_Papum Pare,5,3315
AR_Papum Pare,6,1052
AR_Papum Pare,7,236
AR_Papum Pare,8,56
AR_Papum Pare,9,9
AR_Papum Pare,10,1
AR_Papum Pare,11,10
AR_Papum Pare,12,1485
AR_Papum Pare,13,2339
AR_Papum Pare,14,2797
AR_Papum Pare,15,3702
AR_Papum Pare,16,190
AR_Papum Pare,17,0
AR_Shi Yomi,1,0
AR_Shi Yomi,2,0
AR_Shi Yomi,3,6
AR_Shi Yomi,4,15
AR_Shi Yomi,5,7
AR_Shi Yomi,6,68
AR_Shi Yomi,7,8
AR_Shi Yomi,8,0
AR_Shi Yomi,9,0
AR_Shi Yomi,10,0
AR_Shi Yomi,11,0
AR_Shi Yomi,12,54
AR_Shi Yomi,13,21
AR_Shi Yomi,14,43
AR_Shi Yomi,15,49
AR_Shi Yomi,16,0
AR_Shi Yomi,17,0
AR_Siang,1,0
AR_Siang,2,1
AR_Siang,3,4
AR_Siang,4,39
AR_Siang,5,46
AR_Siang,6,30
AR_Siang,7,12
AR_Siang,8,1
AR_Siang,9,0
AR_Siang,10,0
AR_Siang,11,0
AR_Siang,12,5
AR_Siang,13,42
AR_Siang,14,137
AR_Siang,15,76
AR_Siang,16,0
AR_Siang,17,0
AR_Tawang,1,1
AR_Tawang,2,11
AR_Tawang,3,69
AR_Tawang,4,166
AR_Tawang,5,97
AR_Tawang,6,57
AR_Tawang,7,48
AR_Tawang,8,43
AR_Tawang,9,1
AR_Tawang,10,0
AR_Tawang,11,3
AR_Tawang,12,343
AR_Tawang,13,722
AR_Tawang,14,442
AR_Tawang,15,297
AR_Tawang,16,0
AR_Tawang,17,0
AR_Tirap,1,3
AR_Tirap,2,3
AR_Tirap,3,86
AR_Tirap,4,146
AR_Tirap,5,259
AR_Tirap,6,68
AR_Tirap,7,19
AR_Tirap,8,3
AR_Tirap,9,0
AR_Tirap,10,2
AR_Tirap,11,2
AR_Tirap,12,93
AR_Tirap,13,59
AR_Tirap,14,153
AR_Tirap,15,112
AR_Tirap,16,0
AR_Tirap,17,0
AR_Upper Dibang Valley,1,0
AR_Upper Dibang Valley,2,0
AR_Upper Dibang Valley,3,1
AR_Upper Dibang Valley,4,3
AR_Upper Dibang Valley,5,16
AR_Upper Dibang Valley,6,3
AR_Upper Dibang Valley,7,0
AR_Upper Dibang Valley,8,0
AR_Upper Dibang Valley,9,0
AR_Upper Dibang Valley,10,0
AR_Upper Dibang Valley,11,0
AR_Upper Dibang Valley,12,75
AR_Upper Dibang Valley,13,102
AR_Upper Dibang Valley,14,35
AR_Upper Dibang Valley,15,65
AR_Upper Dibang Valley,16,0
AR_Upper Dibang Valley,17,0
AR_Upper Siang,1,1
AR_Upper Siang,2,7
AR_Upper Siang,3,26
AR_Upper Siang,4,83
AR_Upper Siang,5,108
AR_Upper Siang,6,119
AR_Upper Siang,7,15
AR_Upper Siang,8,1
AR_Upper Siang,9,1
AR_Upper Siang,10,0
AR_Upper Siang,11,1
AR_Upper Siang,12,52
AR_Upper Siang,13,231
AR_Upper Siang,14,94
AR_Upper Siang,15,157
AR_Upper Siang,16,0
AR_Upper Siang,17,0
AR_Upper Subansiri,1,0
AR_Upper Subansiri,2,4
AR_Upper Subansiri,3,89
AR_Upper Subansiri,4,88
AR_Upper Subansiri,5,205
AR_Upper Subansiri,6,52
AR_Upper Subansiri,7,2
AR_Upper Subansiri,8,1
AR_Upper Subansiri,9,0
AR_Upper Subansiri,10,0
AR_Upper Subansiri,11,2
AR_Upper Subansiri,12,167
AR_Upper Subansiri,13,439
AR_Upper Subansiri,14,584
AR_Upper Subansiri,15,281
AR_Upper Subansiri,16,0
AR_Upper Subansiri,17,0
AR_West Kameng,1,12
AR_West Kameng,2,19
AR_West Kameng,3,191
AR_West Kameng,4,248
AR_West Kameng,5,200
AR_West Kameng,6,162
AR_West Kameng,7,80
AR_West Kameng,8,35
AR_West Kameng,9,4
AR_West Kameng,10,1
AR_West Kameng,11,17
AR_West Kameng,12,334
AR_West Kameng,13,675
AR_West Kameng,14,847
AR_West Kameng,15,383
AR_West Kameng,16,0
AR_West Kameng,17,0
AR_West Siang,1,1
AR_West Siang,2,5
AR_West Siang,3,85
AR_West Siang,4,304
AR_West Siang,5,538
AR_West Siang,6,114
AR_West Siang,7,15
AR_West Siang,8,1
AR_West Siang,9,1
AR_West Siang,10,0
AR_West Siang,11,0
AR_West Siang,12,80
AR_West Siang,13,66
AR_West Siang,14,297
AR_West Siang,15,265
AR_West Siang,16,0
AR_West Siang,17,0
BR_Araria,1,4
BR_Araria,2,88
BR_Araria,3,121
BR_Araria,4,1712
BR_Araria,5,2508
BR_Araria,6,1544
BR_Araria,7,791
BR_Araria,8,328
BR_Araria,9,115
BR_Araria,10,46
BR_Araria,11,11
BR_Araria,12,474
BR_Araria,13,4939
BR_Araria,14,2111
BR_Araria,15,135
BR_Araria,16,36
BR_Araria,17,0
BR_Arwal,1,12
BR_Arwal,2,66
BR_Arwal,3,123
BR_Arwal,4,784
BR_Arwal,5,559
BR_Arwal,6,420
BR_Arwal,7,171
BR_Arwal,8,83
BR_Arwal,9,159
BR_Arwal,10,59
BR_Arwal,11,1
BR_Arwal,12,360
BR_Arwal,13,3825
BR_Arwal,14,667
BR_Arwal,15,69
BR_Arwal,16,29
BR_Arwal,17,0
BR_Aurangabad,1,18
BR_Aurangabad,2,111
BR_Aurangabad,3,209
BR_Aurangabad,4,1417
BR_Aurangabad,5,1560
BR_Aurangabad,6,659
BR_Aurangabad,7,613
BR_Aurangabad,8,350
BR_Aurangabad,9,444
BR_Aurangabad,10,146
BR_Aurangabad,11,51
BR_Aurangabad,12,537
BR_Aurangabad,13,12247
BR_Aurangabad,14,1540
BR_Aurangabad,15,61
BR_Aurangabad,16,47
BR_Aurangabad,17,0
BR_Banka,1,15
BR_Banka,2,157
BR_Banka,3,139
BR_Banka,4,965
BR_Banka,5,725
BR_Banka,6,841
BR_Banka,7,284
BR_Banka,8,223
BR_Banka,9,175
BR_Banka,10,71
BR_Banka,11,18
BR_Banka,12,205
BR_Banka,13,2879
BR_Banka,14,629
BR_Banka,15,39
BR_Banka,16,14
BR_Banka,17,0
BR_Begusarai,1,47
BR_Begusarai,2,259
BR_Begusarai,3,628
BR_Begusarai,4,2889
BR_Begusarai,5,2051
BR_Begusarai,6,749
BR_Begusarai,7,464
BR_Begusarai,8,366
BR_Begusarai,9,520
BR_Begusarai,10,152
BR_Begusarai,11,48
BR_Begusarai,12,756
BR_Begusarai,13,14299
BR_Begusarai,14,3705
BR_Begusarai,15,182
BR_Begusarai,16,75
BR_Begusarai,17,0
BR_Bhagalpur,1,33
BR_Bhagalpur,2,293
BR_Bhagalpur,3,808
BR_Bhagalpur,4,2786
BR_Bhagalpur,5,2708
BR_Bhagalpur,6,1258
BR_Bhagalpur,7,800
BR_Bhagalpur,8,496
BR_Bhagalpur,9,291
BR_Bhagalpur,10,76
BR_Bhagalpur,11,41
BR_Bhagalpur,12,2042
BR_Bhagalpur,13,11955
BR_Bhagalpur,14,2050
BR_Bhagalpur,15,128
BR_Bhagalpur,16,62
BR_Bhagalpur,17,0
BR_Bhojpur,1,29
BR_Bhojpur,2,144
BR_Bhojpur,3,273
BR_Bhojpur,4,2294
BR_Bhojpur,5,1164
BR_Bhojpur,6,469
BR_Bhojpur,7,365
BR_Bhojpur,8,134
BR_Bhojpur,9,217
BR_Bhojpur,10,47
BR_Bhojpur,11,18
BR_Bhojpur,12,591
BR_Bhojpur,13,3752
BR_Bhojpur,14,599
BR_Bhojpur,15,62
BR_Bhojpur,16,44
BR_Bhojpur,17,0
BR_Buxar,1,59
BR_Buxar,2,106
BR_Buxar,3,177
BR_Buxar,4,1960
BR_Buxar,5,908
BR_Buxar,6,391
BR_Buxar,7,172
BR_Buxar,8,141
BR_Buxar,9,102
BR_Buxar,10,16
BR_Buxar,11,2
BR_Buxar,12,437
BR_Buxar,13,4090
BR_Buxar,14,664
BR_Buxar,15,22
BR_Buxar,16,8
BR_Buxar,17,0
BR_Darbhanga,1,16
BR_Darbhanga,2,148
BR_Darbhanga,3,265
BR_Darbhanga,4,1273
BR_Darbhanga,5,1127
BR_Darbhanga,6,553
BR_Darbhanga,7,315
BR_Darbhanga,8,268
BR_Darbhanga,9,225
BR_Darbhanga,10,71
BR_Darbhanga,11,23
BR_Darbhanga,12,352
BR_Darbhanga,13,3952
BR_Darbhanga,14,2000
BR_Darbhanga,15,243
BR_Darbhanga,16,77
BR_Darbhanga,17,0
BR_East Champaran,1,15
BR_East Champaran,2,128
BR_East Champaran,3,327
BR_East Champaran,4,2768
BR_East Champaran,5,2596
BR_East Champaran,6,1351
BR_East Champaran,7,682
BR_East Champaran,8,327
BR_East Champaran,9,191
BR_East Champaran,10,65
BR_East Champaran,11,26
BR_East Champaran,12,408
BR_East Champaran,13,7473
BR_East Champaran,14,2393
BR_East Champaran,15,197
BR_East Champaran,16,53
BR_East Champaran,17,0
BR_Gaya,1,8
BR_Gaya,2,131
BR_Gaya,3,387
BR_Gaya,4,3033
BR_Gaya,5,1612
BR_Gaya,6,985
BR_Gaya,7,921
BR_Gaya,8,499
BR_Gaya,9,308
BR_Gaya,10,206
BR_Gaya,11,39
BR_Gaya,12,2187
BR_Gaya,13,20607
BR_Gaya,14,2868
BR_Gaya,15,100
BR_Gaya,16,53
BR_Gaya,17,0
BR_Gopalganj,1,24
BR_Gopalganj,2,150
BR_Gopalganj,3,326
BR_Gopalganj,4,1361
BR_Gopalganj,5,1637
BR_Gopalganj,6,1151
BR_Gopalganj,7,650
BR_Gopalganj,8,338
BR_Gopalganj,9,161
BR_Gopalganj,10,30
BR_Gopalganj,11,8
BR_Gopalganj,12,467
BR_Gopalganj,13,7058
BR_Gopalganj,14,3030
BR_Gopalganj,15,268
BR_Gopalganj,16,19
BR_Gopalganj,17,0
BR_Jamui,1,34
BR_Jamui,2,59
BR_Jamui,3,705
BR_Jamui,4,772
BR_Jamui,5,763
BR_Jamui,6,512
BR_Jamui,7,213
BR_Jamui,8,97
BR_Jamui,9,14
BR_Jamui,10,16
BR_Jamui,11,9
BR_Jamui,12,2346
BR_Jamui,13,3720
BR_Jamui,14,126
BR_Jamui,15,31
BR_Jamui,16,10
BR_Jamui,17,0
BR_Jehanabad,1,26
BR_Jehanabad,2,175
BR_Jehanabad,3,174
BR_Jehanabad,4,1364
BR_Jehanabad,5,945
BR_Jehanabad,6,679
BR_Jehanabad,7,647
BR_Jehanabad,8,325
BR_Jehanabad,9,283
BR_Jehanabad,10,31
BR_Jehanabad,11,10
BR_Jehanabad,12,1135
BR_Jehanabad,13,4562
BR_Jehanabad,14,443
BR_Jehanabad,15,24
BR_Jehanabad,16,12
BR_Jehanabad,17,0
BR_Kaimur,1,33
BR_Kaimur,2,111
BR_Kaimur,3,112
BR_Kaimur,4,707
BR_Kaimur,5,507
BR_Kaimur,6,268
BR_Kaimur,7,138
BR_Kaimur,8,93
BR_Kaimur,9,211
BR_Kaimur,10,82
BR_Kaimur,11,16
BR_Kaimur,12,192
BR_Kaimur,13,2213
BR_Kaimur,14,267
BR_Kaimur,15,30
BR_Kaimur,16,9
BR_Kaimur,17,0
BR_Katihar,1,34
BR_Katihar,2,203
BR_Katihar,3,340
BR_Katihar,4,3236
BR_Katihar,5,1543
BR_Katihar,6,951
BR_Katihar,7,400
BR_Katihar,8,388
BR_Katihar,9,119
BR_Katihar,10,17
BR_Katihar,11,23
BR_Katihar,12,759
BR_Katihar,13,8252
BR_Katihar,14,1698
BR_Katihar,15,111
BR_Katihar,16,55
BR_Katihar,17,0
BR_Khagaria,1,145
BR_Khagaria,2,154
BR_Khagaria,3,567
BR_Khagaria,4,1333
BR_Khagaria,5,439
BR_Khagaria,6,229
BR_Khagaria,7,77
BR_Khagaria,8,120
BR_Khagaria,9,70
BR_Khagaria,10,13
BR_Khagaria,11,7
BR_Khagaria,12,1698
BR_Khagaria,13,4664
BR_Khagaria,14,393
BR_Khagaria,15,123
BR_Khagaria,16,27
BR_Khagaria,17,0
BR_Kishanganj,1,14
BR_Kishanganj,2,135
BR_Kishanganj,3,275
BR_Kishanganj,4,1414
BR_Kishanganj,5,1105
BR_Kishanganj,6,719
BR_Kishanganj,7,336
BR_Kishanganj,8,262
BR_Kishanganj,9,52
BR_Kishanganj,10,10
BR_Kishanganj,11,17
BR_Kishanganj,12,1007
BR_Kishanganj,13,3826
BR_Kishanganj,14,752
BR_Kishanganj,15,142
BR_Kishanganj,16,41
BR_Kishanganj,17,0
BR_Lakhisarai,1,12
BR_Lakhisarai,2,61
BR_Lakhisarai,3,183
BR_Lakhisarai,4,995
BR_Lakhisarai,5,1012
BR_Lakhisarai,6,764
BR_Lakhisarai,7,343
BR_Lakhisarai,8,233
BR_Lakhisarai,9,185
BR_Lakhisarai,10,56
BR_Lakhisarai,11,19
BR_Lakhisarai,12,271
BR_Lakhisarai,13,2711
BR_Lakhisarai,14,755
BR_Lakhisarai,15,136
BR_Lakhisarai,16,36
BR_Lakhisarai,17,0
BR_Madhepura,1,9
BR_Madhepura,2,133
BR_Madhepura,3,141
BR_Madhepura,4,1035
BR_Madhepura,5,1314
BR_Madhepura,6,1224
BR_Madhepura,7,628
BR_Madhepura,8,245
BR_Madhepura,9,123
BR_Madhepura,10,26
BR_Madhepura,11,14
BR_Madhepura,12,268
BR_Madhepura,13,5440
BR_Madhepura,14,1703
BR_Madhepura,15,174
BR_Madhepura,16,46
BR_Madhepura,17,0
BR_Madhubani,1,33
BR_Madhubani,2,281
BR_Madhubani,3,364
BR_Madhubani,4,2068
BR_Madhubani,5,2717
BR_Madhubani,6,1123
BR_Madhubani,7,559
BR_Madhubani,8,322
BR_Madhubani,9,223
BR_Madhubani,10,54
BR_Madhubani,11,44
BR_Madhubani,12,338
BR_Madhubani,13,7800
BR_Madhubani,14,2204
BR_Madhubani,15,152
BR_Madhubani,16,67
BR_Madhubani,17,0
BR_Munger,1,122
BR_Munger,2,148
BR_Munger,3,424
BR_Munger,4,1190
BR_Munger,5,735
BR_Munger,6,659
BR_Munger,7,555
BR_Munger,8,236
BR_Munger,9,150
